target,feature,pearson_r,pearson_p,spearman_r,spearman_p,n_obs,abs_spearman
IDM-Imbalance,prev2_da_demand_mean,0.1300113599299898,0.013047432090780164,0.197849734191695,0.00014506287048080758,364,0.197849734191695
IDM-Imbalance,prev2_load_forecast_mean,0.10322114484089454,0.049088801359970534,0.19083910822649885,0.00025009011932185303,364,0.19083910822649885
IDM-Imbalance,prev2_load_actual_mean,0.09164875139867905,0.08077459171704651,0.18196390955593153,0.0004850488424416452,364,0.18196390955593153
IDM-Imbalance,month,-0.16073556625057167,0.0020971592697198982,-0.1795258928166102,0.0005788086318256802,364,0.1795258928166102
IDM-Imbalance,prev_flow_hu_mean,-0.13296016831710109,0.01110818707047263,-0.1778455666375965,0.0006529267357777179,364,0.1778455666375965
IDM-Imbalance,prev2_solar_actual_mean,-0.12634729157821947,0.015868117790892377,-0.17427480205192114,0.0008404942587659156,364,0.17427480205192114
IDM-Imbalance,load_forecast_change,0.18838694505180195,0.0003012247028482909,0.17364624621499825,0.000878263524930337,364,0.17364624621499825
IDM-Imbalance,hydro_mean,-0.09348997187480375,0.07484002531612773,-0.1663263676115636,0.0014495380685866793,364,0.1663263676115636
IDM-Imbalance,da_price_max,0.17275417535377738,0.0009345618820001092,0.1652563084806002,0.001557101730101157,364,0.1652563084806002
IDM-Imbalance,prev_spread_da_imb_mean,0.1018136526723174,0.052603778643492784,0.16214649238255469,0.001940542546922105,363,0.16214649238255469
IDM-Imbalance,prev_flow_pl_mean,0.11923335770867466,0.022898433110822587,0.16167220077556319,0.001972909647078996,364,0.16167220077556319
IDM-Imbalance,prev_gas_mean,0.10558347279638426,0.044103497254914054,0.1615811336857414,0.001984687919813425,364,0.1615811336857414
IDM-Imbalance,load_error_mean,-0.08952699067446224,0.08807928244984907,-0.14661179418340065,0.0050674589192990956,364,0.14661179418340065
IDM-Imbalance,flow_hu_mean,-0.08968179536256028,0.08752898355675057,-0.1420320650706703,0.0066425606284597665,364,0.1420320650706703
IDM-Imbalance,solar_actual_mean,-0.08483277495913305,0.10612603675972498,-0.13421723161237764,0.010362184838434494,364,0.13421723161237764
IDM-Imbalance,prev2_spread_idm_imb_mean,0.05435470021069988,0.3030479532567852,0.13204904526509642,0.012030910740437247,361,0.13204904526509642
IDM-Imbalance,prev2_spread_da_imb_mean,0.07022155616449997,0.1818978383520552,0.12935959068555755,0.013643978283912285,363,0.12935959068555755
IDM-Imbalance,prev2_net_import_mean,-0.10106337921711933,0.05404578116823856,-0.12018890200708382,0.021819765339989534,364,0.12018890200708382
IDM-Imbalance,da_price_std,-0.0330039641420675,0.5302130968942764,-0.11549098473133342,0.027578817407763457,364,0.11549098473133342
IDM-Imbalance,flow_pl_mean,0.07539178352313827,0.15115039835457242,0.113994598178907,0.02966830617542052,364,0.113994598178907
IDM-Imbalance,prev2_gas_mean,0.07409789418158035,0.1583108738159412,0.11292791890550295,0.03123926639046937,364,0.11292791890550295
IDM-Imbalance,prev_net_import_mean,-0.07588677296149722,0.14847704437334866,-0.10474880039014535,0.045813987781571475,364,0.10474880039014535
IDM-Imbalance,prev_load_error_mean,-0.038944252583885064,0.45885446753063086,-0.09345648125224712,0.07494471398537168,364,0.09345648125224712
IDM-Imbalance,da_price_range,-0.007683179347295519,0.8838553191302579,-0.09113103583838326,0.08251014344406365,364,0.09113103583838326
IDM-Imbalance,flow_cz_mean,0.054743928333499586,0.2975802467222491,0.08861947516991102,0.09136142299186101,364,0.08861947516991102
IDM-Imbalance,prev2_flow_cz_mean,0.06856163249867493,0.19185551362202094,0.06799004233624407,0.19559505284627457,364,0.06799004233624407
