datetime,limit_price,filled,entry_bid,entry_ask,entry_spread,n_snapshots,fallback_price,target,pred_median,direction,size,imb_settlement_price,pnl_limit,pnl_fallback
2026-03-06 13:15:00,-2.18,True,,-2.18,,46,-0.62,6.34,5.978174239736204,surplus,5.0,-14.2315,15.064375000000002,17.014375
2026-03-06 13:30:00,-6.27,True,-7.27,,,44,,11.375,6.042522922173627,surplus,5.0,-14.2315,9.951875000000001,
2026-03-06 13:45:00,11.53,True,7.74,11.53,3.789999999999999,34,-7.8,3.588,6.418012367500711,surplus,5.0,-14.2315,32.201875,8.039375000000001
2026-03-06 15:00:00,69.34,True,62.1,69.34,7.240000000000002,55,93.77,-16.654,5.045670570296484,surplus,5.0,138.2145,-86.09312499999999,-55.55562499999999
2026-03-06 15:15:00,92.96,True,91.23,92.96,1.7299999999999898,55,91.79,-18.649,3.322114943115118,surplus,3.322114943115118,138.2145,-37.58516267330077,-38.55688129416193
2026-03-06 16:00:00,99.92,True,99.33,99.92,0.5900000000000034,55,112.01,-2.27,5.586417754214759,surplus,5.0,142.3668,-53.05850000000001,-37.94600000000001
2026-03-06 16:15:00,121.7,True,119.94,121.7,1.7600000000000051,55,123.9,-0.863,5.115807641486208,surplus,5.0,142.3668,-25.83350000000001,-23.083500000000008
2026-03-06 16:30:00,138.18,True,136.9,138.18,1.2800000000000011,55,140.0,12.905,3.1068559174661035,surplus,3.1068559174661035,142.3668,-3.2519460888117746,-1.8383266463647028
2026-03-06 20:00:00,171.2,True,171.2,173.61,2.410000000000025,55,172.09,-8.071,-4.242025564106254,deficit,4.242025564106254,156.43222500000002,-15.66131976874228,-16.605170456755936
2026-03-06 21:15:00,137.03,True,,138.03,,55,140.19,0.558,-3.161885199072466,deficit,3.161885199072466,117.2501,-15.635443262283365,-18.13333256955061
2026-03-06 23:00:00,138.61,True,138.61,,,55,138.84,-12.315,-3.613172821167318,deficit,3.613172821167318,147.30025,7.849843777287314,7.642086340070203
2026-03-07 00:30:00,136.94,True,136.94,137.45,0.5099999999999909,55,139.1,1.498,-3.031530822163601,deficit,3.031530822163601,110.556,-19.99597730299111,-21.63300394695945
2026-03-07 01:30:00,135.82,True,135.82,136.6,0.7800000000000011,55,135.57,-1.818,-3.4092884875710725,deficit,3.4092884875710725,144.257025,7.191063050462336,7.4041435809355285
2026-03-07 02:00:00,136.58,True,136.58,,,55,137.39,-3.478,-4.083207262525794,deficit,4.083207262525794,144.995175,8.59022591885635,7.7633764481949035
2026-03-07 04:45:00,140.92,True,140.92,,,55,140.08,-3.905,-3.209350634479777,deficit,3.209350634479777,145.08195,3.339289218293292,4.013252851534025
2026-03-07 05:00:00,135.68,True,135.68,136.59,0.9099999999999966,55,137.58,-3.788,-5.374275981475527,deficit,5.0,150.8186,18.923249999999996,16.54824999999999
2026-03-07 05:15:00,135.9,True,135.9,136.35,0.44999999999998863,54,139.7,-5.582,-4.79520291994245,deficit,4.79520291994245,150.8186,17.884428570363355,13.32898579641805
2026-03-07 05:30:00,138.0,False,138.0,138.7,0.6999999999999886,54,141.66,-3.051,-4.5132605643697685,deficit,4.5132605643697685,150.8186,14.463420467607582,10.333787051209248
2026-03-07 05:45:00,141.35,True,141.35,141.91,0.5600000000000023,52,143.61,-2.325,-4.416997617297711,deficit,4.416997617297711,150.8186,10.455695909786288,7.960092256013059
2026-03-07 06:15:00,141.7,False,141.7,141.8,0.10000000000002274,49,146.49,0.126,-3.861141888625318,deficit,3.861141888625318,135.329,-6.149833743107957,-10.773551154736795
2026-03-07 06:30:00,143.63,False,143.63,143.69,0.060000000000002274,49,146.76,-1.34,-3.036842585713744,deficit,3.036842585713744,135.329,-6.302207576002439,-8.67853689932344
2026-03-07 06:45:00,143.4,True,143.4,143.89,0.4899999999999807,55,138.71,-0.554,-3.1246964653061733,deficit,3.1246964653061733,135.329,-6.30485629287153,-2.641149687300043
2026-03-07 08:45:00,95.4,False,,95.4,,55,55.52,-9.984,4.9929739331638325,surplus,4.9929739331638325,117.4415,-27.513158736957653,-77.29310885060107
2026-03-07 09:00:00,67.67,False,50.86,67.67,16.810000000000002,55,50.45,-5.111,5.284134308273251,surplus,5.0,28.664075,48.75740625,27.232406250000004
2026-03-07 09:15:00,72.5,False,52.01,72.5,20.490000000000002,55,35.97,2.295,3.947819626818629,surplus,3.947819626818629,28.664075,43.264081268687356,7.210618526766221
2026-03-07 09:30:00,29.42,False,,29.42,,51,8.83,7.952,3.91757612609499,surplus,3.91757612609499,28.664075,0.7403484332795901,-19.42537467579437
2026-03-07 09:45:00,22.9,False,12.56,22.9,10.339999999999998,53,0.22,6.236,4.849086309336416,surplus,4.849086309336416,28.664075,-6.987624292122078,-34.48194366605956
