tradeday,hour,ttd_bucket,avg_bid,avg_ask,n_snapshots,mid_price,spread,da_price,idm_da_diff,idm_da_pct
2025-04-11,2,1.0,103.15553191489361,147.91083333333333,59,125.53318262411346,44.755301418439714,65.76,59.77318262411346,90.89595897827472
2025-04-11,3,12.0,64.28125,88.96388888888889,34,76.62256944444445,24.68263888888889,66.65,9.972569444444446,14.962594815370512
2025-04-11,3,6.0,76.48,955.0,2,515.74,878.52,66.65,449.09000000000003,673.8034508627156
2025-04-11,3,3.0,91.0768,396.6066666666667,103,243.84173333333334,305.5298666666667,66.65,177.19173333333333,265.8540635158789
2025-04-11,3,1.0,123.21036363636364,219.3222641509434,108,171.26631389365352,96.11190051457976,66.65,104.61631389365351,156.96371176842237
2025-04-11,4,12.0,63.70933333333333,99.20882352941176,32,81.45907843137255,35.499490196078426,83.03,-1.5709215686274547,-1.8919927359116642
2025-04-11,4,6.0,86.94214285714285,200.36142857142858,21,143.65178571428572,113.41928571428572,83.03,60.62178571428572,73.0119061956952
2025-04-11,4,3.0,111.1940350877193,172.676,87,141.93501754385966,61.48196491228069,83.03,58.90501754385966,70.94425815230598
2025-04-11,4,1.0,140.1178181818182,232.08568965517242,113,186.10175391849532,91.96787147335422,83.03,103.07175391849532,124.13796690171664
2025-04-11,5,12.0,87.52555555555556,123.58142857142857,25,105.55349206349206,36.05587301587302,85.57,19.983492063492065,23.353385606511708
2025-04-11,5,6.0,97.92529411764706,421.998,39,259.96164705882353,324.0727058823529,85.57,174.39164705882354,203.7999848765029
2025-04-11,5,3.0,122.77367521367522,,117,122.77367521367522,,85.57,37.203675213675226,43.477474831921505
2025-04-11,5,1.0,140.18264150943395,240.0,57,190.09132075471697,99.81735849056605,85.57,104.52132075471698,122.14715525852166
2025-04-11,6,12.0,13.09,140.0,2,76.545,126.91,114.0,-37.455,-32.85526315789474
2025-04-11,6,6.0,125.72965517241379,136.66,90,131.19482758620688,10.930344827586211,114.0,17.194827586206884,15.083182093163932
2025-04-11,6,3.0,148.06322033898306,621.5,61,384.7816101694915,473.43677966101694,114.0,270.7816101694915,237.5277282188522
2025-04-11,6,1.0,155.3590243902439,733.995,43,444.67701219512196,578.6359756097561,114.0,330.67701219512196,290.06755455712454
2025-04-11,7,12.0,90.06666666666666,132.9075,33,111.48708333333333,42.840833333333336,111.83,-0.3429166666666674,-0.3066410325195989
2025-04-11,7,6.0,120.53731707317073,126.6254954954955,275,123.58140628433311,6.0881784223247735,111.83,11.751406284333115,10.508277103043115
2025-04-11,7,3.0,134.06368055555555,148.61936305732485,301,141.3415218064402,14.555682501769297,111.83,29.5115218064402,26.389628727926496
2025-04-11,7,1.0,146.21882352941176,161.31394366197182,139,153.7663835956918,15.095120132560055,111.83,41.936383595691794,37.500119463195745
2025-04-11,8,12.0,86.2806976744186,101.6025806451613,74,93.94163915978996,15.321882970742692,91.25,2.6916391597899576,2.949741544975296
2025-04-11,8,6.0,111.92063636363636,112.5946017699115,223,112.25761906677394,0.6739654062751441,91.25,21.00761906677394,23.022048292355006
2025-04-11,8,3.0,123.87021978021978,134.11575,262,128.99298489010988,10.245530219780207,91.25,37.74298489010988,41.362175222038225
