X,A,Y,rule,total_rev,rev_per_mwh,n_curtailed,pct_curtailed
-4,5.0,-18.0,combined,82553.38122160546,30.1465750882287,7985,79.88195278111245
-4,5.0,-16.0,combined,83172.08149644305,30.37251004106159,7969,79.7218887555022
-4,5.0,-14.0,combined,84057.58440560164,30.695875111598614,7947,79.50180072028812
-4,5.0,-12.0,combined,84850.12008313782,30.98529071104946,7923,79.26170468187274
-4,5.0,-10.0,combined,87766.41119704407,32.050252409087086,7897,79.0016006402561
-4,5.0,-8.0,combined,90518.56531791827,33.05527509418576,7847,78.50140056022408
-4,5.0,-6.0,combined,92716.55671906032,33.85793044079036,7781,77.84113645458183
-4,10.0,-20.0,combined,80251.34053732306,29.30592336303063,8050,80.53221288515407
-4,10.0,-18.0,combined,81140.83759739582,29.630747004599705,8028,80.31212484993998
-4,10.0,-16.0,combined,81926.96902683609,29.917823921573216,8008,80.11204481792717
-4,10.0,-14.0,combined,83252.47285607268,30.401867096141064,7978,79.81192476990796
-4,10.0,-12.0,combined,84184.33662018637,30.74216207281127,7950,79.53181272509003
-4,10.0,-10.0,combined,87251.85657947234,31.862349028437173,7918,79.21168467386954
-4,10.0,-8.0,combined,90133.78451009688,32.91476209103743,7862,78.65146058423369
-4,10.0,-6.0,combined,92623.76788075133,33.8240461147938,7787,77.90116046418566
-4,15.0,-20.0,combined,77935.19132953291,28.460119533133554,8104,81.07242897158864
-4,15.0,-18.0,combined,78996.4280886303,28.847658519073295,8077,80.80232092837136
-4,15.0,-16.0,combined,80088.9654641751,29.24662776226085,8051,80.5422168867547
-4,15.0,-14.0,combined,81684.40356957659,29.829244657309598,8016,80.19207683073229
-4,15.0,-12.0,combined,82993.81059530561,30.307409653558874,7981,79.8419367747099
-4,15.0,-10.0,combined,86326.23092915899,31.524332065862914,7944,79.47178871548618
-4,15.0,-8.0,combined,89506.52524893613,32.68570159543388,7880,78.83153261304521
-4,15.0,-6.0,combined,92341.81070246536,33.72108191004432,7796,77.99119647859143
-4,20.0,-20.0,combined,76531.49741807985,27.94752315880801,8141,81.44257703081233
-4,20.0,-18.0,combined,77691.16058653366,28.371005180592196,8112,81.15246098439376
-4,20.0,-16.0,combined,78797.56426284638,28.77503807436693,8085,80.88235294117648
-4,20.0,-14.0,combined,80562.8307754281,29.419672354450814,8048,80.51220488195277
-4,20.0,-12.0,combined,81981.8043637894,29.937848511462683,8011,80.14205682272909
-4,20.0,-10.0,combined,85663.27897092426,31.282237427302174,7967,79.70188075230092
-4,20.0,-8.0,combined,88942.3500020264,32.47967791485043,7898,79.01160464185675
-4,20.0,-6.0,combined,91881.77429791738,33.55308731299934,7811,78.14125650260104
-4,25.0,-20.0,combined,75458.81538546938,27.555804625134893,8176,81.79271708683473
-4,25.0,-18.0,combined,76667.15339193886,27.99706156585556,8146,81.49259703881553
-4,25.0,-16.0,combined,77785.79583038107,28.405563770954238,8118,81.2124849939976
-4,25.0,-14.0,combined,79572.7357218683,29.0581126650118,8080,80.83233293317326
-4,25.0,-12.0,combined,81103.36212953541,29.61706183520867,8040,80.43217286914765
-4,25.0,-10.0,combined,84870.80217014789,30.99284332827487,7993,79.96198479391757
-4,25.0,-8.0,combined,88381.34847159917,32.27481320172333,7917,79.2016806722689
-4,25.0,-6.0,combined,91578.18832248099,33.442224774496424,7820,78.2312925170068
-4,30.0,-20.0,combined,74088.5281891005,27.055407606303138,8218,82.21288515406162
-4,30.0,-18.0,combined,75321.70267290875,27.50573425098918,8187,81.90276110444178
-4,30.0,-16.0,combined,76707.12615958421,28.01165869105471,8152,81.55262104841937
-4,30.0,-14.0,combined,78780.05631375525,28.768644578496662,8107,81.10244097639055
-4,30.0,-12.0,combined,80558.44289377923,29.418070002110444,8059,80.62224889955982
-4,30.0,-10.0,combined,84367.34279409327,30.808991671813207,8009,80.12204881952782
-4,30.0,-8.0,combined,88001.76096419999,32.13619667112182,7929,79.3217286914766
-4,30.0,-6.0,combined,91361.04028476229,33.36292736078086,7827,78.30132052821128
-4,35.0,-20.0,combined,73279.50032666684,26.75996944444451,8241,82.44297719087635
-4,35.0,-18.0,combined,74528.53096239784,27.216086387086566,8209,82.12284913965587
-4,35.0,-16.0,combined,75940.64548089459,27.731757771287832,8173,81.76270508203281
-4,35.0,-14.0,combined,78193.82415750422,28.554566227543173,8123,81.2625050020008
-4,35.0,-12.0,combined,80043.26281747842,29.22993821847737,8073,80.76230492196879
-4,35.0,-10.0,combined,83852.16271779247,30.620859888180135,8023,80.26210484193678
