X,A,Y,F,rule,total_rev,rev_per_mwh,n_curtailed,pct_curtailed
11,25.0,5.0,,rule12,154374.73616108188,56.37406374564779,3494,34.95398159263706
11,25.0,8.0,,rule12,154509.321932121,56.4232113395125,3288,32.89315726290516
11,30.0,-10.0,,rule12,144164.16952170155,52.64540225011012,4438,44.397759103641455
11,30.0,-7.0,,rule12,147079.844804462,53.710139060934125,4305,43.0672268907563
11,30.0,-4.0,,rule12,150639.79299831402,55.01014935667325,4135,41.36654661864746
11,30.0,-1.0,,rule12,152113.32680141082,55.54824963533846,3942,39.43577430972389
11,30.0,2.0,,rule12,153138.51915788907,55.92262604363464,3742,37.43497398959584
11,30.0,5.0,,rule12,154213.44882889668,56.31516536258279,3519,35.204081632653065
11,30.0,8.0,,rule12,154497.44795342046,56.418875238613964,3299,33.00320128051221
11,35.0,-10.0,,rule12,143517.17823677545,52.40913607828494,4481,44.827931172468986
11,35.0,-7.0,,rule12,146686.5665480935,53.56652298717994,4341,43.42737094837935
11,35.0,-4.0,,rule12,150300.66847856247,54.88630896821592,4166,41.676670668267306
11,35.0,-1.0,,rule12,151880.87059524085,55.46336203448761,3965,39.665866346538614
11,35.0,2.0,,rule12,152959.30683242524,55.857181869860234,3755,37.56502601040416
11,35.0,5.0,,rule12,154165.84280005726,56.29778074790289,3525,35.26410564225691
11,35.0,8.0,,rule12,154484.60116403393,56.41418388987509,3302,33.033213285314126
11,40.0,-10.0,,rule12,142555.97790960368,52.05812807099171,4555,45.56822729091637
11,40.0,-7.0,,rule12,145764.92951620504,53.22996257530129,4412,44.13765506202481
11,40.0,-4.0,,rule12,149546.72709562673,54.610987107663874,4229,42.30692276910764
11,40.0,-1.0,,rule12,151265.4495288989,55.23862457234112,4019,40.20608243297319
11,40.0,2.0,,rule12,152528.65362125653,55.69991733174721,3791,37.92517006802721
11,40.0,5.0,,rule12,153916.52349469863,56.20673513537053,3548,35.494197679071625
11,40.0,8.0,,rule12,154416.9160762662,56.389466869802156,3308,33.09323729491796
