datetime,date,hour,year,month,day_of_week,is_weekend,quarter,price_eur_mwh,demand_mw,supply_mw,net_flow_cz,net_flow_pl,net_flow_hu,net_import,price_lag24,price_change_24h,price_change_24h_pct,price_lag168,price_change_7d,price_daily_mean,price_daily_std,price_daily_range,yesterday_mean_price,yesterday_std_price,yesterday_range_price,price_momentum_6h,net_import_lag24,net_import_change_24h
2024-06-14 07:00:00,2024-06-14,7,2024,6,4,0,2,98.05,1158.9,804.4,410.7,336.5,-392.7,354.50000000000006,127.98,-29.930000000000007,-23.386466635411786,117.46,-19.409999999999997,90.90416666666665,37.40031491574786,145.49,95.51083333333332,31.25282344346536,102.13,30.810000000000002,-89.80000000000007,444.3000000000001
2024-06-14 08:00:00,2024-06-14,8,2024,6,4,0,2,93.22,1195.9,794.4,164.5,320.2,-83.2,401.5,118.88,-25.659999999999997,-21.584791386271867,101.66,-8.439999999999998,89.835,36.92960565607293,145.49,95.81291666666668,31.44981972425944,102.13,32.91,148.70000000000005,252.79999999999995
2024-06-14 09:00:00,2024-06-14,9,2024,6,4,0,2,78.66,1244.3,713.2,258.5,514.7,-242.1,531.1,86.18,-7.52000000000001,-8.72592248781621,78.9,-0.2400000000000091,89.52166666666666,36.99381154671188,145.49,96.03958333333333,31.355925794457875,102.13,16.83,326.0,205.10000000000002
2024-06-14 10:00:00,2024-06-14,10,2024,6,4,0,2,68.94,1215.5,711.3,325.3,316.4,-137.5,504.20000000000005,73.88,-4.939999999999998,-6.686518678938818,61.26,7.68,89.31583333333333,37.09822132343179,145.49,96.34666666666668,31.089108629266477,102.13,11.439999999999998,661.1,-156.89999999999998
2024-06-14 11:00:00,2024-06-14,11,2024,6,4,0,2,63.48,1175.0,606.3,367.5,278.3,-77.1,568.6999999999999,66.41,-2.9299999999999997,-4.411986146664659,41.39,22.089999999999996,89.19375000000001,37.18160482684966,145.49,96.41208333333333,31.02150922507578,102.13,-4.160000000000004,982.7999999999998,-414.0999999999999
2024-06-14 12:00:00,2024-06-14,12,2024,6,4,0,2,62.98,1318.2,522.4,313.7,314.6,167.5,795.8,57.7,5.279999999999994,9.150779896013853,33.91,29.07,89.41375,37.00234584954817,145.49,95.93458333333335,31.543041674507588,102.13,-22.270000000000003,1015.6999999999998,-219.89999999999986
2024-06-14 13:00:00,2024-06-14,13,2024,6,4,0,2,49.38,1274.1,504.3,429.5,641.0,-300.7,769.8,51.49,-2.1099999999999994,-4.097883084093998,25.36,24.020000000000003,89.32583333333334,37.09875046725824,146.8,95.72874999999999,31.826876844483582,102.13,-48.669999999999995,989.8000000000001,-220.0000000000001
2024-06-14 14:00:00,2024-06-14,14,2024,6,4,0,2,42.39,1340.3,444.5,590.2,910.4,-604.8,895.8,50.69,-8.299999999999997,-16.374038271848487,34.83,7.560000000000002,88.98,37.51096767149821,153.79000000000002,95.80708333333332,31.70847143412022,101.85,-50.83,927.1,-31.300000000000068
2024-06-14 15:00:00,2024-06-14,15,2024,6,4,0,2,42.5,1323.9,580.7,655.6,1046.1,-958.5,743.1999999999998,76.08,-33.58,-44.13774973711882,108.89,-66.39,87.58083333333333,38.622852203311574,153.79000000000002,96.93166666666667,30.432494170693406,100.25,-36.16,857.1999999999999,-114.00000000000011
2024-06-14 16:00:00,2024-06-14,16,2024,6,4,0,2,57.33,1106.8,567.1,778.4,669.5,-908.2,539.7,94.31,-36.980000000000004,-39.21111228925883,126.62,-69.29,86.04,39.0776927359488,153.79000000000002,98.21291666666666,29.60240199995061,100.25,-11.61,395.70000000000005,144.0
2024-06-14 17:00:00,2024-06-14,17,2024,6,4,0,2,79.43,1087.7,555.6,811.3,436.0,-715.2,532.0999999999999,99.58,-20.14999999999999,-20.234986945169705,77.22,2.210000000000008,85.20041666666667,38.99050190686552,153.79000000000002,98.42708333333333,29.592510726925514,100.25,15.95000000000001,52.5,479.5999999999999
2024-06-14 18:00:00,2024-06-14,18,2024,6,4,0,2,89.49,1060.6,632.7,607.2,566.2,-745.5,427.9000000000001,124.82,-35.33,-28.30475885274796,108.02,-18.53,83.72833333333334,38.08608266484794,153.79000000000002,98.51916666666666,29.674357971395207,100.25,26.509999999999998,-113.80000000000007,541.7000000000002
