tradeday,hour,ceps_in,ceps_out,apg_in,apg_out,mavir_in,mavir_out,pse_in,pse_out,de_in,de_out,total_import_cap,total_export_cap,net_capacity,ceps_congested_in,apg_congested_in,mavir_congested_in,pse_congested_in,de_congested_in,congested_in_count,last_price,total_amount,idm_mid_price,idm_bid,idm_ask,idm_spread,dayofweek,is_weekend,month,idm_price,date,imbalance_mwh,imbalance_abs_mean,imbalance_std,imbalance_min,imbalance_max,n_periods,imbalance_sign,abs_imbalance,is_deficit
2025-12-14,9,192.0,88.0,378.0,0.0,302.0,585.0,151.0,0.0,0.0,362.0,1023.0,1035.0,-12.0,0,0,0,0,1,1,95.99,88.4,126.8825,67.025,186.74,119.715,6,1,12,126.8825,2025-12-14,132.714,37.5445,31.835380846892132,-8.732,59.178,4,1.0,132.714,0
2025-12-14,10,634.0,0.0,635.0,0.0,787.0,372.0,0.0,166.0,0.0,166.0,2056.0,704.0,1352.0,0,0,0,1,1,2,111.44,84.9,128.39875,77.805,178.9925,101.1875,6,1,12,128.39875,2025-12-14,-81.623,20.405749999999998,1.8863618201889776,-21.617,-17.594,4,-1.0,81.623,1
2025-12-14,11,539.0,137.0,934.0,137.0,1106.0,494.0,0.0,481.0,0.0,481.0,2579.0,1730.0,849.0,0,0,0,1,1,2,111.0,96.7,135.49875,100.5025,170.495,69.9925,6,1,12,135.49875,2025-12-14,-76.985,19.24625,7.94098576479436,-26.585,-10.016,4,-1.0,76.985,1
2025-12-14,12,277.0,118.0,557.0,0.0,437.0,306.0,0.0,514.0,0.0,524.0,1271.0,1462.0,-191.0,0,0,0,1,1,2,113.33,110.3,114.04875,76.8825,151.215,74.3325,6,1,12,114.04875,2025-12-14,-12.442,3.1105,1.8306702779765303,-5.619,-1.453,4,-1.0,12.442,1
2025-12-14,13,71.0,195.0,138.0,0.0,633.0,13.0,0.0,406.0,0.0,540.0,842.0,1154.0,-312.0,0,0,0,1,1,2,99.25,129.7,118.31625,71.69500000000001,164.9375,93.2425,6,1,12,118.31625,2025-12-14,-16.401000000000003,5.29675,5.665047653521254,-11.175,2.393,4,-1.0,16.401000000000003,1
2025-12-14,14,0.0,212.0,35.0,0.0,621.0,0.0,2.0,0.0,0.0,459.0,658.0,671.0,-13.0,1,0,0,0,1,2,99.0,6.4,129.15875,98.23,160.0875,61.8575,6,1,12,129.15875,2025-12-14,-18.025000000000002,4.5062500000000005,2.6198779074605754,-8.335,-2.504,4,-1.0,18.025000000000002,1
2025-12-14,15,130.0,70.0,151.0,0.0,602.0,0.0,0.0,375.0,0.0,375.0,883.0,820.0,63.0,0,0,0,1,1,2,120.0,155.4,117.6925,44.6325,190.7525,146.12,6,1,12,117.6925,2025-12-14,-5.579000000000001,1.93525,2.381355688818171,-4.527,1.081,4,-1.0,5.579000000000001,1
2025-12-14,16,116.0,284.0,116.0,0.0,1329.0,0.0,0.0,422.0,116.0,422.0,1677.0,1128.0,549.0,0,0,0,1,0,1,99.0,73.8,110.62125,93.7575,127.485,33.72749999999999,6,1,12,110.62125,2025-12-14,-29.45,7.362499999999999,3.102166823367177,-10.844,-4.566,4,-1.0,29.45,1
2025-12-14,17,120.0,288.0,169.0,0.0,637.0,0.0,0.0,349.0,54.0,358.0,980.0,995.0,-15.0,0,0,0,1,0,1,103.8,79.3,112.2475,99.51,124.985,25.475000000000005,6,1,12,112.2475,2025-12-14,-15.311,3.82775,1.5482186268956548,-5.633,-1.878,4,-1.0,15.311,1
2025-12-14,18,158.0,323.0,432.0,0.0,764.0,0.0,158.0,347.0,6.0,372.0,1518.0,1042.0,476.0,0,0,0,0,0,0,86.26,120.6,86.36125000000001,63.77,108.9525,45.182500000000005,6,1,12,86.36125000000001,2025-12-14,-13.276,3.903,4.484876735578508,-8.96,1.168,4,-1.0,13.276,1
2025-12-14,19,122.0,117.0,333.0,0.0,922.0,0.0,35.0,341.0,35.0,341.0,1447.0,799.0,648.0,0,0,0,0,0,0,91.01,108.2,88.75125,52.515,124.9875,72.4725,6,1,12,88.75125,2025-12-14,-14.274000000000001,3.5685000000000002,2.741800077807765,-7.47,-1.248,4,-1.0,14.274000000000001,1
