tradeday,hour,ceps_in,ceps_out,apg_in,apg_out,mavir_in,mavir_out,pse_in,pse_out,de_in,de_out,total_import_cap,total_export_cap,net_capacity,ceps_congested_in,apg_congested_in,mavir_congested_in,pse_congested_in,de_congested_in,congested_in_count,last_price,total_amount,idm_mid_price,idm_bid,idm_ask,idm_spread,dayofweek,is_weekend,month,idm_price
2026-02-12,13,0.0,1326.0,478.0,376.0,1458.0,532.0,0.0,912.0,0.0,1900.0,1936.0,5046.0,-3110.0,1,0,0,1,1,3,108.5,69.2,97.91499999999999,46.7725,149.0575,102.285,3,0,2,97.91499999999999
2026-02-12,14,260.0,168.0,349.0,141.0,864.0,446.0,0.0,543.0,0.0,565.0,1473.0,1863.0,-390.0,0,0,0,1,1,2,100.01,219.6,93.41875,68.675,118.1625,49.487500000000004,3,0,2,93.41875
2026-02-12,15,0.0,32.0,0.0,7.0,965.0,0.0,0.0,79.0,0.0,111.0,965.0,229.0,736.0,1,1,0,1,1,4,105.0,199.1,96.95750000000001,72.05,121.86500000000001,49.815,3,0,2,96.95750000000001
2026-02-12,16,3.0,0.0,3.0,0.0,491.0,0.0,52.0,0.0,0.0,24.0,549.0,24.0,525.0,0,0,0,0,1,1,130.0,158.1,160.0125,95.47,224.555,129.08500000000004,3,0,2,160.0125
2026-02-12,17,0.0,173.0,0.0,173.0,634.0,0.0,134.0,30.0,0.0,173.0,768.0,549.0,219.0,1,1,0,0,1,3,141.0,41.8,165.7825,132.575,198.99,66.415,3,0,2,165.7825
2026-02-12,18,10.0,150.0,10.0,150.0,1152.0,0.0,0.0,379.0,0.0,478.0,1172.0,1157.0,15.0,0,0,0,1,1,2,130.9,12.0,152.0325,116.51,187.555,71.045,3,0,2,152.0325
2026-02-12,19,0.0,197.0,0.0,197.0,799.0,0.0,0.0,80.0,0.0,205.0,799.0,679.0,120.0,1,1,0,1,1,4,184.98,492.6,136.04375,65.5175,206.57,141.0525,3,0,2,136.04375
2026-02-12,20,0.0,84.0,0.0,27.0,601.0,0.0,0.0,4.0,0.0,84.0,601.0,199.0,402.0,1,1,0,1,1,4,134.98,177.0,126.815,97.025,156.605,59.58,3,0,2,126.815
2026-02-12,21,175.0,196.0,175.0,0.0,861.0,0.0,0.0,196.0,175.0,196.0,1386.0,588.0,798.0,0,0,0,1,0,1,96.61,29.6,95.545,76.26,114.83000000000001,38.57,3,0,2,95.545
2026-02-12,22,113.0,319.0,113.0,165.0,905.0,0.0,113.0,319.0,113.0,319.0,1357.0,1122.0,235.0,0,0,0,0,0,0,95.5,31.7,198.2,36.1075,360.2925,324.185,3,0,2,198.2
2026-02-12,23,83.0,10.0,83.0,10.0,401.0,10.0,0.0,17.0,0.0,17.0,567.0,64.0,503.0,0,0,0,1,1,2,84.68,89.3,160.64875,55.254999999999995,266.0425,210.7875,3,0,2,160.64875
2026-02-13,0,0.0,419.0,312.0,58.0,1256.0,154.0,435.0,0.0,312.0,127.0,2315.0,758.0,1557.0,1,0,0,0,0,1,88.09,53.2,76.01125,10.0,142.0225,132.0225,4,0,2,76.01125
