Delivery day;Period number;Period;Buy Orders (MW);Sell Orders (MW);Buy trades (MW);Sell trades (MW);Traded Quantity Difference (MW);Weighted average price of all trades (EUR/MWh);Total Traded Quantity (MW)
2025-12-13;51;12:30 - 12:45;326.2;2,114.0;71.8;46.5;25.3;104.93;118.3
2025-12-13;52;12:45 - 13:00;781.7;571.2;76.8;59.2;17.6;103.6;136.0
2025-12-13;53;13:00 - 13:15;488.3;764.1;53.6;36.8;16.8;101.88;90.4
2025-12-13;54;13:15 - 13:30;1,255.6;949.7;78.8;55.6;23.2;106.5;134.4
2025-12-13;55;13:30 - 13:45;423.3;1,103.4;59.0;40.1;18.9;105.36;99.1
2025-12-13;56;13:45 - 14:00;749.9;653.0;46.4;20.7;25.7;103.66;67.1
2025-12-13;57;14:00 - 14:15;615.0;1,273.4;88.9;24.7;64.2;92.49;113.6
2025-12-13;58;14:15 - 14:30;867.6;639.9;77.5;57.7;19.8;100.81;135.2
2025-12-13;59;14:30 - 14:45;754.8;874.5;109.1;64.2;44.9;109.53;173.3
2025-12-13;60;14:45 - 15:00;1,497.8;687.6;122.6;90.5;32.1;113.35;213.1
2025-12-13;61;15:00 - 15:15;1,197.6;795.8;60.6;39.0;21.6;105.57;99.6
2025-12-13;62;15:15 - 15:30;874.5;398.4;32.0;27.3;4.7;118.39;59.3
2025-12-13;63;15:30 - 15:45;828.7;674.5;68.8;45.5;23.3;121.71;114.3
2025-12-13;64;15:45 - 16:00;461.4;1,006.3;106.5;84.7;21.8;122.09;191.2
2025-12-13;65;16:00 - 16:15;1,068.4;362.3;78.9;46.4;32.5;131.6;125.3
2025-12-13;66;16:15 - 16:30;622.8;257.7;65.7;30.0;35.7;133.11;95.7
2025-12-13;67;16:30 - 16:45;655.8;2,771.8;73.9;50.6;23.3;122.56;124.5
2025-12-13;68;16:45 - 17:00;811.1;865.2;53.4;78.6;-25.2;124.62;132.0
2025-12-13;69;17:00 - 17:15;606.0;361.7;50.6;24.0;26.6;122.88;74.6
2025-12-13;70;17:15 - 17:30;465.8;397.7;69.3;26.3;43.0;121.95;95.6
2025-12-13;71;17:30 - 17:45;1,580.3;489.3;45.0;24.3;20.7;122.91;69.3
2025-12-13;72;17:45 - 18:00;509.2;557.0;30.2;26.5;3.7;120.93;56.7
2025-12-13;73;18:00 - 18:15;677.0;534.2;67.0;41.3;25.7;123.44;108.3
2025-12-13;74;18:15 - 18:30;429.2;422.6;42.2;31.0;11.2;120.54;73.2
2025-12-13;75;18:30 - 18:45;754.2;829.8;35.5;24.3;11.2;122.24;59.8
2025-12-13;76;18:45 - 19:00;941.8;1,751.5;45.8;46.8;-1.0;119.37;92.6
